rpm,time_diff,x
2395.19,19879,21.355536460876465
2395.19,19881,21.357648372650146
2395.19,19883,21.359054565429688
2395.19,19884,21.35974884033203
2395.19,19885,21.36082148551941
2395.19,19887,21.361289262771606
2395.19,19888,21.363605737686157
2395.19,19889,21.372771501541138
2395.19,19890,21.373242616653442
2395.19,19892,21.37367534637451
2395.19,19893,21.374317407608032
2395.19,19894,21.37487292289734
2395.19,19895,21.37528109550476
2395.19,19897,21.37567162513733
2395.19,19898,21.376060485839844
2395.19,19899,21.3764808177948
2395.19,19900,21.37697434425354
2395.19,19902,21.377384901046753
2395.19,19903,21.377779722213745
2395.19,19904,21.379902362823486
2395.19,19905,21.380502223968506
2395.19,19906,21.383167028427124
2395.19,19908,21.384373903274536
2395.19,19909,21.387144565582275
2395.19,19910,21.388208866119385
2395.19,19911,21.38969087600708
2395.19,19913,21.391900539398193
2395.19,19914,21.393481731414795
2395.19,19915,21.3952796459198
2395.19,19916,21.39576530456543
2395.19,19918,21.39619517326355
2395.19,19919,21.396717071533203
2395.19,19920,21.39708662033081
2395.19,19921,21.397525310516357
2395.19,19923,21.398974418640137
2395.19,19924,21.399487495422363
2395.19,19926,21.401625871658325
2395.19,19927,21.402337074279785
2395.19,19929,21.404338836669922
2395.19,19930,21.40481209754944
2395.19,19931,21.407098531723022
2395.19,19932,21.40761399269104
2395.19,19934,21.40972399711609
2395.19,19935,21.410367250442505
2395.19,19936,21.412437677383423
2395.19,19937,21.413002490997314
2395.19,19939,21.415151119232178
2395.19,19940,21.41575860977173
2395.19,19941,21.41626811027527
2395.19,19942,21.418137073516846
2395.19,19944,21.42026424407959
2395.19,19945,21.421287298202515
2395.19,19946,21.422590494155884
2395.19,19947,21.424386262893677
2395.19,19949,21.425716638565063
2395.19,19950,21.426666736602783
2395.19,19951,21.427717685699463
2395.19,19952,21.429317951202393
2395.19,19954,21.431077480316162
2395.19,19955,21.431689977645874
2395.19,19956,21.432168006896973
2395.19,19957,21.43494701385498
